"trip_headsign","line_length_meters"
NULL,1981.2709480889348
"69th Street Transportation Ctr",1520.8550516045675
"Frankford Transportation Center",867.4040321477023
"Norristown Transportation Ctr",792.5629254478538
"King of Prussia",594.44158137965
"Plymouth Meeting Mall",358.2813232393396
"Wissahickon Transportation Center",353.365464102303
"Frankford-Knights",294.0466466141714
"Olney Transportation Center",242.62288185608384
"Darby Transportation Center",241.98215327823178
"Frankford Transportation Ctr",235.9758753832203
"13th-Market",194.29842321975482
"Neshaminy Mall",181.25164948470984
"Parx Casino",174.94461258076228
"Moore Park",143.29502108604723
"Chester Transportation Center",133.1001807993266
"Chestnut Hill",130.72454644342037
"54th-City",117.49375840702763
"Fern Rock Transportation Ctr",101.92214932236601
"Decatur-Drummond",99.40419401425748
"Barren Hill",98.68933162418647
"Broad-Oregon",96.7482550042731
"Airport",96.67088535847026
"Cheyney University",90.28561641842015
"Penn State",86.20813128587261
"Pottstown (High-York)",73.1841168129102
"Montgomery Mall",72.43709105975398
"Broad-Carpenter",69.60238712160891
"Oxford Valley Mall",61.512623136670584
"23rd-Venango",61.39261271857985
"Pottstown (West Campus MCCC)",58.881469064374905
"West Chester",56.79959027851108
"Torresdale-Cottman",54.78181795330334
"Paoli Station",53.372564875493815
"Columbus Commons",52.741819955987346
"Philadelphia Mills ",46.25326729411873
"Wissahickon Transportation Ctr",46.07243158343105
"Fern Rock Transportation Center",42.82964204490209
"Byberry Industrial Park",38.83231714894122
"Olney Transportation Ctr",34.71605085879424
"Norristown Transportation Center",34.65204381520484
"Newtown Square",33.81494060632549
"Overbrook RR Station",33.133402816112174
"69th St Transportation Center",32.80346705588096
"69th Street Transportation Center",31.867222220130056
"15th-Spruce",30.519856606515233
"50th-Parkside",29.80604599024082
"Ridge-Summit",29.03146264730671
"5th-Market",28.44577943846504
"Chesterbrook via King of Prussia",27.657424139596507
"Bucks County Community College",27.479210471067947
"Delaware County Community College",27.210302757293967
"Willow Grove",26.902029971395905
"40th-Market",26.72562408879158
"Chester via Airport Business Center",26.462064512059943
"Lawrence Park",25.370239985627183
"Penn's Landing",25.028020801837446
"33rd-Dauphin",24.966096963284176
"I-95 Industrial Park",24.786648583790956
"Whitman Plaza",24.17781001957849
"49th-Woodland",23.98791971470617
"Front-Market",23.832525714506698
"UPS",23.253515855375106
"Philadelphia Mills",22.871041660241698
"Richmond-Westmoreland",22.793689279528362
"Pulaski-Rittenhouse",22.68059988496751
"Food Center",21.980665349082393
"Fox Chase",21.728656181643814
"Rising Sun-Olney",21.562340994451755
"Pier 70",20.635098206833334
"Limerick",20.348999780660048
"9th-Market",20.269637068731285
"Lankenau Medical Center",18.786254525483397
"Frankford-Gregg",18.21468941376567
"Valley Forge",17.889201730793246
"Packer Marine Terminal",17.63463974529113
"59th-Columbia",16.629677222911862
"Broad-Pattison",16.51812162330932
"Eagleview",15.947801278729695
"Phoenixville",15.741698036491162
"Ridge-Lyceum",15.15646037374802
"Frankford Transportation Center via Dungan",15.111373204170794
"Broad-Oregon via Langley",15.104274324066209
"20th-Johnston",13.715004400393463
"Oxford Valley Mall via Neshaminy Mall",12.87277847739293
"Express Olney Transportation Ctr",12.779243002468913
"Woodland-Island",11.87723840707334
"Wadsworth-Michener",11.689128449818805
"Bustleton-County Line",11.613683541871625
"Chester Transportation Ctr",11.253027473076926
"Broad-Snyder via Airport",11.206370091398721
"63rd-Malvern",10.62235816875421
"Chadds Ford",10.39519248367688
"Byberry-Evans",10.09886119019964
"Broad-Snyder via Airport Business Center",8.993740223730134
"Airport Business Center",8.97730608968775
"Cheltenham-Ogontz",8.74807843727778
"Gulph Mills Station",8.695351743059657
"Columbus Commons via Produce Market",7.7979803874360085
"Horsham Breeze Blue",7.783936406869901
"PNC Operations Center",7.593772282196711
"Richmond-Cumberland",7.520431222038379
"Horsham Breeze Red",7.505572812858461
"Frankford Transportation Center via Keswick",7.410870629095109
"2nd-Lombard",7.265897362591081
"Arrott Transportation Center",7.206056957914641
"Express Fox Chase",6.772318663550094
"29th-Snyder",6.50212432043138
"Lankenau Medical Ctr via Produce Market",6.238493771117751
"Springfield Mall",5.652500495414665
"Overbrook RR Station via Produce Market",5.562273835816329
"Lansdale",5.43715755536279
"Broad-Erie",5.404267301082886
"Food Center via Produce Market",5.168519369739109
"63rd-Girard",4.559933397022238
"8th-Market",4.55218368135712
"Express Cheltenham-Ogontz",4.3759906202201195
"Arrott Transportation Ctr",4.279973689925596
"Wayne-Carpenter",4.243209207149367
"Glenolden",3.8446912670902567
"Sesame Place via Neshaminy and Oxford Valley Malls",3.7577833810997627
"Parx Casino via Philadelphia Mills",3.7457272768607486
"Andorra",3.715097890848941
"35th-Allegheny",3.682328202261609
"5th-Godrey",3.5220222341067142
"Wycombe",3.5115060446743
"West Chester University",3.4590223315657376
"Columbus Blvd Pier 70",3.2586660397478413
"8th St Station - Ridge",3.1528288840622603
"Express Broad-Erie",3.128520480159992
"Yeadon",3.0344058025239233
"Frankford Trans Ctr via Haldeman",2.971205598325667
"Richmond-Cambria",2.8537780430178623
"Express Frankford Transportation Ctr",2.7686981549842407
"Ardmore",2.7211265509012694
"Cedarbrook Plaza",2.5287040300549277
"61st-Pine",2.5068220265148065
"61st-Baltimore",2.3728897954654693
"NRG Station",2.270399481846552
"Express 69th Street Trans Ctr",2.1107809934964754
"Ardmore via Montgomery Av",1.9507187046453551
"54th-City Via Park West Sh Ctr",1.9206605610790441
"Willow Grove Commons",1.6023421014815082
"City Hall",1.5975641127924254
"40th St Portal",1.5617497038155839
"58th-Baltimore",1.5418893774532278
"Express West Chester University",1.4166564159373265
"Chester Ave",1.3949633109302897
"Manayunk-Roxborough Loop",1.241436650868632
"Tri-State Mall",1.0437932415771087
"Warminster",1.0017526128761196
"Spring Garden via 9th St",0.9375603478697988
"Germantown-Chelten",0.8119851472821455
"Bakers Centre",0.7998530977672581
"Newtown Square Corporate Campus",0.7711987468797694
"27th-Allegheny",0.7357784631273419
"Green Loop",0.7341894402217788
"Elmwood-Island",0.6582213229304905
"Eastwick",0.523350950244199
"3rd-Market",0.3984535468113055
"Chester 9th-Highland",0.39764169529550125
"Hunting Park",0.39279440718847136
"Gold Loop 38th-Spruce",0.37609016832429737
"Red Lion-Sandmeyer",0.3550887161812362
"54th-City via Drummond-Decatur",0.1389963003387197
"Parx Casino via Decatur-Drummond",0.1311030569860478
"Penn State via Elwyn Bridgewater",0.12431287819871344
"Swedesford-Valley Forge Rd",0.12417876022443929
"69th St Transportation Center via 26th-Langley",0.12084553396084934
"Limited West Chester University",0.11688674575579913
"West Chester ",0.1077985364916337
"Pottstown (Hanover & Queen)",0.10686440648947015
"Penndel",0.10677737109285174
"Newtown",0.1062401492393926
"Cross Keys via Doylestown",0.10514337208499032
"Express Cornwells Heights",0.10045738682738371
"Express Center City",0.0998082939745331
"Cotesville",0.09940010129312815
"Trenton Transit Center",0.09713969103372587
"West Chester Transportation Center",0.09704627634764469
"Oxford Valley Mall ",0.09515253724928856
"Broad-Snyder via Eastwick Industrial Park",0.09330911426223809
"Harrah's",0.09077611307254665
"Paoli",0.09061290999575584
"Royersford",0.09046268895880928
"St Mary Hospital",0.08815846088977332
"Neshaminy Mall via Haldeman-Rennard",0.08551236838230877
"Philadelphia Mills via Industrial",0.08162377423443706
"Telford",0.08059203286039224
"Warminster via Limekin",0.07874483862021456
"15th & Highland",0.07784960133501254
"Gladwyne",0.07721924016968312
"Express Horsham",0.07637905572171372
"5th-Market via 23rd-Race",0.0760553387479451
"Street Rd-Easton",0.07466782347980323
"Southampton via Gloria Dei",0.07383989948724971
"Graterford",0.07227295207636884
"Express Neshaminy Mall",0.07212900226828252
"69th St Transportation Ctr",0.07151165072144662
"Elwyn - Bridgewater",0.07028778040029128
"Ardmore via Narberth",0.07024623950992646
"Frankford Transportation Center via Gloria Dei",0.07020746261479667
"Lionville",0.07005802963434433
"69th St Trans Ctr - All Stops",0.06993629203207288
"69th St Trans Ctr - Exp to 15th Loc to 69th",0.06993629203207288
"Southampton",0.06878189233347523
"Roosevelt-St Vincent",0.06848239117411084
"Chestnut Hill via Jenkintown",0.06747258173781275
"Frankford Trans Ctr - All Stops",0.06746012902592698
"Frankford Trans Ctr - Exp to 15th Loc to Frankford",0.06746012902592698
"Neshaminy Mall via Byberry Industrial Park",0.0669741685076746
"Norristown TC",0.06551700264212874
"69th St TC",0.06551700264212874
"Norristown Local",0.06551700264212874
"69th Street Trans Ctr Local",0.06551700264212874
"Bucks County Office Center",0.06496130482550239
"49th-Woodland via Park West",0.06152866132393291
"Torresdale Station via Dungan-Grant",0.061186693661683264
"Gladwyne Via Park West Sh Ctr",0.06040196675501999
"59th-Columbia via Produce Market",0.06036244722629958
"Torresdale Station via Algon-Grant",0.06034616045754436
"Holy Redeemer Hospital",0.05984241450409225
"4th-Walnut",0.05982706005896468
"Express Philadelphia MillsS via Keswick",0.05888922960495861
"Philadelphia Mills via Keswick",0.05873834945953312
"Gladwyne via 54th-City",0.05858659995881302
"Exp Frankford Transportation Center via Keswick",0.05810214456172109
"Frankford Transportation Center via Torresdale",0.0576788808411258
"Knights-Mechanicsville",0.05764654835537627
"Academy-Chalfont",0.05744881809251317
"Plymouth Mtg Mall",0.056741583240043525
"Shannondell-Egypt",0.05594764792737454
"Express Plymouth Meeting Mall",0.05520323896544372
"15th-Highland",0.05499623452346905
"Street Rd Industrial Park",0.05491971981490107
"Knights-Mechanicsville via Keswick",0.05458540387955032
"Frankford Transportation Center via Frankford Ave",0.05294781004499869
"Express Frankford Trans Ctr",0.052582617609887417
"Front-Dauphin",0.052307157311917644
"7th & Yarnall",0.0519162260560062
"Ridge-Midvale",0.05143841509087523
"Rising Sun-Knorr",0.05092290197453614
"Roosevelt-Pratt",0.050762217308935154
"Montgomery County Community College",0.05035483268192888
"Conshohocken-Monument",0.05020788675694593
"11th-Market",0.050057129809286505
"PNC Operations Center via 26th-Langley",0.04996130013293467
"Willow Grove UPS",0.0494262642481338
"Exton",0.04898686785536393
"2nd-Lombard via Pine St",0.04883200872858539
"Front-Susquehanna",0.048812025642902296
"Bustleton-Rennard St via Haldeman",0.048758585380363255
"Roosevelt-Red Lion via Bustleton-Verree",0.04754997826791802
"76th-City",0.04690946507042224
"Bustleton-County Line via Haldeman",0.04687601886496106
"Willow Grove via Easton",0.0465089675262511
"Rosemont",0.04619673510332703
"Media",0.04615375317213776
"Wissahickon Trans Ctr via Henry-Midvale",0.04560062577005764
"Smith Memorial Playground",0.04521555241052028
"Frankford Trans Ctr via Henry-Midvale",0.04514453473451831
"Broad-Chestnut",0.04502504508287522
"Lawrence Park via Sussex Blvd",0.04502228796846969
"Richmond-Orthodox",0.044940660910425916
"Fern Rock Trans Ctr - Local",0.04462583208808521
"Fern Rock - Exp to City Hall Local to Fern Rock",0.04462583208808521
"Gloria Dei Bethayres",0.04457837255694608
"Olney Transportation Center via Limekiln",0.044299033464052416
"Chelten-Wissahickon",0.044072178573529824
"Langdon-Sangar",0.04401768732792659
"Express Willow Grove",0.04377097599263199
"Gulph Mills",0.04371431010075659
"Bustleton-Northeast Ave",0.0435173253789068
"NRG Station - Local",0.043336856913902856
"NRG Station - Exp to City Hall Local to NRG",0.043336856913902856
"Express UPS Air Hub",0.043184532427626335
"4th-Oregon",0.042378921816561256
"Plymouth Meeting Mall via Blue Bell",0.04221315976943218
"Providence Road",0.04207230681849006
"15th-Market",0.04195997807292773
"Express Bustleton-County Line",0.04191511410994852
"Wayne-Chelten",0.0414978715002457
"Roosevelt-Byberry",0.04115838669490141
"33rd-Cecil B. Moore",0.04107628224428709
"Amtrak-30th Street Station",0.041067921876608696
"King of Prussia Industrial Park",0.04089380827933893
"Norristown Trans Ctr",0.04043642672578002
"Henry-Midvale",0.04026593110224448
"Larkin's Corner",0.040165524361724846
"Tomlinson-Jamison",0.04007957548933792
"20th-Oregon",0.04003529669092117
"Caroline-Comly",0.03996795797966809
"Cottman-Torresdale",0.03950804162433203
"10th-Chestnut",0.0393139698508912
"Audubon",0.03927244055516753
"Wayne Junction Regional Rail Station",0.039125902322643596
"Front-Spring Garden",0.03904105180962864
"Ardmore via Brookline",0.03877968734328609
"Bustleton-Tomlinson Rd via Haldeman",0.038689711728022685
"Ardmore (Suburban Square)",0.03844133668604316
"Commons at Great Valley",0.038185346318400794
"Paoli Rail Station",0.038118245042239214
"Manayunk",0.037914072700865255
"Algon-Devereaux",0.037357808510770196
"Ogontz-Cheltenham",0.03729291092307209
"Levittown Station",0.03689517257346521
"Pulaski-Hunting Park",0.03660570736812984
"Rhawn-Verree",0.03656268511541173
"Broomall",0.03653084829819375
"Conshohocken",0.036369473951331215
"Broad-Snyder",0.03583340812877084
"5th-Walnut",0.035814019064365564
"21st-Oregon",0.03399767202010474
"Express Frankford-Knights",0.033377730766163564
"Bridgewater Industrial Park",0.03332137669035945
"Columbia-Beach Penn Treaty Park",0.03322753675790476
"Fern Rock Trans Ctr - Express",0.032532618519168305
"Fern Rock Trans Ctr - Ridge",0.03244508982805245
"Red Lion-Norcom",0.03222629348179676
"PNC Operations Center via Eastwick Industrial Park",0.03219800542888721
"Erdenheim",0.031971387822802226
"Bustleton-Verree",0.03179721659056321
"Walnut-Locust Station - Express",0.03142815235773042
"Krewstown-Gregg via Dungan",0.030952750875359127
"50th - Parkside Loop",0.03080920841093095
"Montgomery County Correctional Facility",0.030169518559244487
"Krewstown-Gregg",0.03011221767122021
"Germantown-Ontario",0.029803710455759268
"Valley Forge Business Center",0.02929918567793805
"Woodland Avenue",0.028817556622884447
"Olney Trans Ctr - Ridge",0.028074658511163086
"Bensalem",0.027587742106447023
"Oxford-Rhawn",0.026972474953732575
"Express Cedarbrook Plaza",0.026954472910300138
"Columbus-Dock",0.0263171825202593
"Wayne Junction",0.02560407212674543
"Sharon Hill",0.025559074052069534
"26th-Allegheny",0.024675240771422833
"50th-Woodland",0.024539178462690037
"Express Frankford Transportation Center",0.024406773800932903
"One-Olney Square Shopping Center",0.023612405115587768
"10th-Lycoming",0.022849742399528222
"Pilgrim Gardens",0.022219474317928263
"46th-Market",0.02220166574215697
"67th-Elmwood",0.02176817480012946
"Gold Loop",0.020834013073158377
"Ridge-Allegheny",0.020826135706389356
"Oakview",0.020523227913152253
"Township Line-State Rd",0.020492507642624037
"Welsh-Rowland",0.020042693994748093
"4th-Girard",0.01986632703976921
"Castor-Bustleton",0.019587451061339963
"Darby Transportation Ctr",0.01924460497810598
"33rd-Dickinson",0.01840598257853758
"Rodney-Mt Airy",0.018363084780456004
"City Hall Station",0.018024675464515635
"Norristown State Hospital ",0.017628487860324196
"Oxford-Cottman",0.017369635612170215
"Fort Washington Office Center",0.017321085181929593
"Fort Washington Station",0.01630832225072855
"Noble-12th",0.016159740683792192
"Torrey-Academy",0.015078835205073422
"Alan Wood-Ridge",0.015014370609404774
"Castor-Bleigh",0.014751748978724931
"Marcus Hook",0.014364541142291874
"8th - Oregon",0.014274180040348089
"Frankford-Cottman",0.012534156770183744
"City-Haverford",0.011407742164191161
"8th-Oregon",0.011112663280091289
"60th-Lansdowne",0.010633054570114034
"77th-City",0.00987618398122048
"Market-34th",0.008914184777677038
"Tacony-Bridge",0.007322184938799345
"Broad-Lehigh",0.003942192126573416
